ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
fig1,Figure 1,Map of major current subgroups of Pama-Nyungan.,,,,,bowern2012pamanyungan,,map,
1,Arandic,,,,aran1267,traditional,bowern2012pamanyungan,features,feature,fig1
2,Central NSW,,,,wira1261,traditional,bowern2012pamanyungan,features,feature,fig1
3,Djirbalic,,,,dyir1250,traditional,bowern2012pamanyungan,features,feature,fig1
4,Durubalic,,,,yaga1256,traditional,bowern2012pamanyungan,features,feature,fig1
5,Eastern Vic,,,,east2706,traditional,bowern2012pamanyungan,features,feature,fig1
6,Gumbaygnggirr,,,,gumb1242,traditional,bowern2012pamanyungan,features,feature,fig1
7,Kalkac,,,,galg1238,traditional,bowern2012pamanyungan,features,feature,fig1
8,Kanyara,,,,kany1246,traditional,bowern2012pamanyungan,features,feature,fig1
9,Karnic,,,,karn1253,traditional,bowern2012pamanyungan,features,feature,fig1
10,Kartu,,,,kart1250,traditional,bowern2012pamanyungan,features,feature,fig1
11,Kulin,,,,kuli1251,traditional,bowern2012pamanyungan,features,feature,fig1
12,Mantharta,,,,mant1266,traditional,bowern2012pamanyungan,features,feature,fig1
13,Maric,,,,mari1445,traditional,bowern2012pamanyungan,features,feature,fig1
14,Mayi,,,,maya1279,traditional,bowern2012pamanyungan,features,feature,fig1
15,Murray,,,,lowe1401,traditional,bowern2012pamanyungan,features,feature,fig1
16,Muruwari,,,,muru1266,traditional,bowern2012pamanyungan,features,feature,fig1
17,Ngayarta,,,,ngay1241,traditional,bowern2012pamanyungan,features,feature,fig1
18,Ngumpin-Yapa,,,,ngum1251,traditional,bowern2012pamanyungan,features,feature,fig1
19,Nyungar,,,,nyun1247,traditional,bowern2012pamanyungan,features,feature,fig1
20,Paakintyi,,,,darl1243,traditional,bowern2012pamanyungan,features,feature,fig1
21,Paman,,,,pama1251,traditional,bowern2012pamanyungan,features,feature,fig1
22,Thura-Yura,,,,thur1253,traditional,bowern2012pamanyungan,features,feature,fig1
23,Waka-Kabi,,,,waka1283,traditional,bowern2012pamanyungan,features,feature,fig1
24,Warluc,,,,sout2766,traditional,bowern2012pamanyungan,features,feature,fig1
25,Warumungu,,,,waru1265,traditional,bowern2012pamanyungan,features,feature,fig1
26,Wati,,,,wati1241,traditional,bowern2012pamanyungan,features,feature,fig1
27,Yardli,,,,yarl1236,traditional,bowern2012pamanyungan,features,feature,fig1
28,Yolngu,,,,yuul1239,traditional,bowern2012pamanyungan,features,feature,fig1
29,Yuinkuri,,,,yuin1243,traditional,bowern2012pamanyungan,features,feature,fig1
